,Year,County,State,Zip code,latitude,longitude,Plant Hardiness Zone,Corn Acres Harvested,Sales ($),CV,State ANSI,Ag District,Ag District Code,Concatenated
0,2022,CREEK,OKLAHOMA,74010,35.83,-96.39,7b,244.0,71000,0.3,40,CENTRAL,50,CREEKOKLAHOMA2022
1,2022,GRADY,OKLAHOMA,73002,34.92,-97.77,7b,3063.0,2834000,0.3,40,CENTRAL,50,GRADYOKLAHOMA2022
2,2022,MCCLAIN,OKLAHOMA,73010,35.14,-97.65,7b,3167.0,1941000,0.3,40,CENTRAL,50,MCCLAINOKLAHOMA2022
3,2022,PAYNE,OKLAHOMA,74023,35.97,-96.76,7b,401.0,237000,0.3,40,CENTRAL,50,PAYNEOKLAHOMA2022
4,2022,MAJOR,OKLAHOMA,73718,36.24,-98.18,7a,4449.0,7794000,0.3,40,NORTH CENTRAL,40,MAJOROKLAHOMA2022
5,2022,ROGERS,OKLAHOMA,74015,36.18,-95.76,7b,348.0,248000,0.3,40,NORTHEAST,70,ROGERSOKLAHOMA2022
6,2022,WAGONER,OKLAHOMA,74013,36.03,-95.78,7b,3810.0,0,0.3,40,NORTHEAST,70,WAGONEROKLAHOMA2022
7,2022,TEXAS,OKLAHOMA,73901,36.75,-101.08,6b,79748.0,105348000,0.3,40,PANHANDLE,10,TEXASOKLAHOMA2022
8,2022,CADDO,OKLAHOMA,73001,35.23,-98.4,7b,4583.0,4838000,0.3,40,SOUTHWEST,30,CADDOOKLAHOMA2022
9,2022,KIOWA,OKLAHOMA,73041,35.07,-98.87,7b,2793.0,1355000,0.3,40,SOUTHWEST,30,KIOWAOKLAHOMA2022
10,2022,TILLMAN,OKLAHOMA,73530,34.24,-99.07,8a,3726.0,2684000,0.3,40,SOUTHWEST,30,TILLMANOKLAHOMA2022
11,2022,CUSTER,OKLAHOMA,73096,35.53,-98.68,7b,1955.0,1474000,0.3,40,WEST CENTRAL,20,CUSTEROKLAHOMA2022
12,2012,UNION,NEW MEXICO,88410,35.91,-103.15,6b,9824.0,12110000,2.5,35,NORTHEAST,30,UNIONNEWMEXICO2012
13,2012,RIO ARRIBA,NEW MEXICO,87012,36.11,-106.66,6a,130.0,64000,2.5,35,NORTHWEST,10,RIOARRIBANEWMEXICO2012
14,2012,SANDOVAL,NEW MEXICO,87001,35.38,-106.47,7b,17.0,0,2.5,35,NORTHWEST,10,SANDOVALNEWMEXICO2012
15,2012,SANTA FE,NEW MEXICO,87010,35.37,-106.14,7a,17.0,0,2.5,35,NORTHWEST,10,SANTAFENEWMEXICO2012
16,2012,TAOS,NEW MEXICO,87512,36.94,-105.45,5b,16.0,1000,2.5,35,NORTHWEST,10,TAOSNEWMEXICO2012
17,2012,DONA ANA,NEW MEXICO,87936,32.75,-107.26,8a,4.0,6548000,2.5,35,SOUTHEAST,90,DONAANANEWMEXICO2012
18,2012,LEA,NEW MEXICO,88114,33.51,-103.33,7a,960.0,5374000,2.5,35,SOUTHEAST,90,LEANEWMEXICO2012
19,2012,SIERRA,NEW MEXICO,87901,33.13,-107.24,8a,12.0,0,2.5,35,SOUTHWEST,70,SIERRANEWMEXICO2012
20,2012,SOCORRO,NEW MEXICO,87006,34.49,-106.84,7a,390.0,0,2.5,35,SOUTHWEST,70,SOCORRONEWMEXICO2012
21,2012,ADAMS,WISCONSIN,53910,43.95,-89.81,4b,23165.0,17652000,2.8,55,CENTRAL,50,ADAMSWISCONSIN2012
22,2012,GREEN LAKE,WISCONSIN,53926,43.68,-89.19,5a,55976.0,35151000,2.8,55,CENTRAL,50,GREENLAKEWISCONSIN2012
23,2012,JUNEAU,WISCONSIN,53929,43.74,-90.27,4b,40373.0,25853000,2.8,55,CENTRAL,50,JUNEAUWISCONSIN2012
24,2012,MARQUETTE,WISCONSIN,53920,43.67,-89.6,5a,30203.0,14358000,2.8,55,CENTRAL,50,MARQUETTEWISCONSIN2012
25,2012,PORTAGE,WISCONSIN,54406,44.44,-89.28,4b,34711.0,25522000,2.8,55,CENTRAL,50,PORTAGEWISCONSIN2012
26,2012,WAUPACA,WISCONSIN,54926,44.62,-89.02,4b,42949.0,31258000,2.8,55,CENTRAL,50,WAUPACAWISCONSIN2012
